FECHA_VST,0,1,2,3,4,5,6,7,8,9,10
2018-01-02,0,0,0,0,0,0,0,0,276,62,640
2018-01-03,0,0,0,0,0,0,276,62,204,0,507
2018-01-04,0,0,0,0,276,62,204,0,0,0,0
2018-01-05,0,0,276,62,204,0,0,0,0,0,0
2018-01-06,276,62,204,0,0,0,0,0,0,0,0
2018-01-07,204,0,0,0,0,0,0,0,0,0,0
2018-01-08,0,0,0,0,0,0,0,0,0,0,0
2018-01-09,0,0,0,0,0,0,0,0,0,0,0
2018-01-10,0,0,0,0,0,0,0,0,0,0,0
2018-01-11,0,0,0,0,0,0,0,0,0,0,0
2018-01-12,0,0,0,0,0,0,0,0,0,0,0
2018-01-13,0,0,0,0,0,0,0,0,0,0,0
2018-01-14,0,0,0,0,0,0,0,0,0,0,0
2018-01-15,0,0,0,0,0,0,0,0,291,67,637
2018-01-16,0,0,0,0,0,0,291,67,226,66,595
2018-01-17,0,0,0,0,291,67,226,66,249,71,657
2018-01-18,0,0,291,67,226,66,249,71,247,83,634
2018-01-19,291,67,226,66,249,71,247,83,240,49,527
2018-01-20,226,66,249,71,247,83,240,49,0,0,0
2018-01-21,249,71,247,83,240,49,0,0,0,0,0
2018-01-22,247,83,240,49,0,0,0,0,317,60,590
2018-01-23,240,49,0,0,0,0,317,60,264,50,497
2018-01-24,0,0,0,0,317,60,264,50,199,53,447
2018-01-25,0,0,317,60,264,50,199,53,7,44,326
2018-01-26,317,60,264,50,199,53,7,44,7,41,135
2018-01-27,264,50,199,53,7,44,7,41,0,0,0
2018-01-28,199,53,7,44,7,41,0,0,0,0,0
2018-01-29,7,44,7,41,0,0,0,0,182,52,628
2018-01-30,7,41,0,0,0,0,182,52,169,46,554
2018-01-31,0,0,0,0,182,52,169,46,179,41,526
2018-02-01,0,0,182,52,169,46,179,41,0,0,0
2018-02-02,182,52,169,46,179,41,0,0,245,49,589
2018-02-03,169,46,179,41,0,0,245,49,198,0,436
2018-02-04,179,41,0,0,245,49,198,0,209,62,599
2018-02-05,0,0,245,49,198,0,209,62,219,0,367
2018-02-06,245,49,198,0,209,62,219,0,0,0,0
2018-02-07,198,0,209,62,219,0,0,0,0,0,0
2018-02-08,209,62,219,0,0,0,0,0,0,0,0
2018-02-09,219,0,0,0,0,0,0,0,0,0,0
2018-02-10,0,0,0,0,0,0,0,0,0,0,0
2018-02-11,0,0,0,0,0,0,0,0,0,0,0
2018-02-12,0,0,0,0,0,0,0,0,0,0,0
2018-02-13,0,0,0,0,0,0,0,0,0,0,1
2018-02-14,0,0,0,0,0,0,0,0,232,42,665
2018-02-15,0,0,0,0,0,0,232,42,247,62,664
2018-02-16,0,0,0,0,232,42,247,62,242,38,599
2018-02-17,0,0,232,42,247,62,242,38,0,0,0
2018-02-18,232,42,247,62,242,38,0,0,0,0,1
2018-02-19,247,62,242,38,0,0,0,0,226,51,675
2018-02-20,242,38,0,0,0,0,226,51,270,50,739
2018-02-21,0,0,0,0,226,51,270,50,261,45,722
2018-02-22,0,0,226,51,270,50,261,45,260,59,685
2018-02-23,226,51,270,50,261,45,260,59,209,69,588
2018-02-24,270,50,261,45,260,59,209,69,0,0,0
2018-02-25,261,45,260,59,209,69,0,0,0,0,0
2018-02-26,260,59,209,69,0,0,0,0,271,50,594
2018-02-27,209,69,0,0,0,0,271,50,230,56,594
2018-02-28,0,0,0,0,271,50,230,56,236,40,581
2018-03-01,0,0,271,50,230,56,236,40,261,56,487
2018-03-02,271,50,230,56,236,40,261,56,0,0,0
2018-03-03,230,56,236,40,261,56,0,0,0,0,0
2018-03-04,236,40,261,56,0,0,0,0,140,54,210
2018-03-05,261,56,0,0,0,0,140,54,227,56,462
2018-03-06,0,0,0,0,140,54,227,56,0,0,0
2018-03-07,0,0,140,54,227,56,0,0,0,0,0
2018-03-08,140,54,227,56,0,0,0,0,0,0,0
2018-03-09,227,56,0,0,0,0,0,0,0,0,0
2018-03-10,0,0,0,0,0,0,0,0,0,0,0
2018-03-11,0,0,0,0,0,0,0,0,0,0,0
2018-03-12,0,0,0,0,0,0,0,0,0,0,0
2018-03-13,0,0,0,0,0,0,0,0,328,67,826
2018-03-14,0,0,0,0,0,0,328,67,299,70,779
2018-03-15,0,0,0,0,328,67,299,70,280,72,822
2018-03-16,0,0,328,67,299,70,280,72,305,58,656
2018-03-17,328,67,299,70,280,72,305,58,0,0,0
2018-03-18,299,70,280,72,305,58,0,0,0,0,0
2018-03-19,280,72,305,58,0,0,0,0,236,46,653
2018-03-20,305,58,0,0,0,0,236,46,225,60,546
2018-03-21,0,0,0,0,236,46,225,60,273,56,662
2018-03-22,0,0,236,46,225,60,273,56,263,48,684
2018-03-23,236,46,225,60,273,56,263,48,215,40,570
2018-03-24,225,60,273,56,263,48,215,40,0,0,0
2018-03-25,273,56,263,48,215,40,0,0,0,0,0
2018-03-26,263,48,215,40,0,0,0,0,267,67,686
2018-03-27,215,40,0,0,0,0,267,67,243,47,613
2018-03-28,0,0,0,0,267,67,243,47,150,62,520
2018-03-29,0,0,267,67,243,47,150,62,117,44,353
2018-03-30,267,67,243,47,150,62,117,44,0,0,0
2018-03-31,243,47,150,62,117,44,0,0,0,0,0
2018-04-01,150,62,117,44,0,0,0,0,288,58,494
2018-04-02,117,44,0,0,0,0,288,58,0,0,0
2018-04-03,0,0,0,0,288,58,0,0,0,0,0
2018-04-04,0,0,288,58,0,0,0,0,167,68,253
2018-04-05,288,58,0,0,0,0,167,68,238,62,624
2018-04-06,0,0,0,0,167,68,238,62,0,0,0
2018-04-07,0,0,167,68,238,62,0,0,0,0,0
2018-04-08,167,68,238,62,0,0,0,0,0,0,0
2018-04-09,238,62,0,0,0,0,0,0,0,0,0
2018-04-10,0,0,0,0,0,0,0,0,0,0,0
2018-04-11,0,0,0,0,0,0,0,0,0,0,0
2018-04-12,0,0,0,0,0,0,0,0,0,0,0
2018-04-13,0,0,0,0,0,0,0,0,157,47,479
2018-04-14,0,0,0,0,0,0,157,47,0,0,8
2018-04-15,0,0,0,0,157,47,0,0,0,0,0
2018-04-16,0,0,157,47,0,0,0,0,278,62,717
2018-04-17,157,47,0,0,0,0,278,62,265,56,726
2018-04-18,0,0,0,0,278,62,265,56,273,56,700
2018-04-19,0,0,278,62,265,56,273,56,253,39,684
2018-04-20,278,62,265,56,273,56,253,39,217,42,573
2018-04-21,265,56,273,56,253,39,217,42,0,0,0
2018-04-22,273,56,253,39,217,42,0,0,0,0,0
2018-04-23,253,39,217,42,0,0,0,0,213,47,596
2018-04-24,217,42,0,0,0,0,213,47,263,57,666
2018-04-25,0,0,0,0,213,47,263,57,221,44,600
2018-04-26,0,0,213,47,263,57,221,44,226,45,624
2018-04-27,213,47,263,57,221,44,226,45,230,61,594
