FECHA_VST,0,1,2,3,4,5
2017-12-05,0,0,0,287,320,599
2017-12-06,0,0,287,320,371,712
2017-12-07,0,287,320,371,294,664
2017-12-08,287,320,371,294,0,0
2017-12-09,320,371,294,0,383,714
2017-12-10,371,294,0,383,349,710
2017-12-11,294,0,383,349,0,0
2017-12-12,0,383,349,0,393,728
2017-12-13,383,349,0,393,392,772
2017-12-14,349,0,393,392,433,724
2017-12-15,0,393,392,433,159,423
2017-12-16,393,392,433,159,0,0
2017-12-17,392,433,159,0,0,0
2017-12-18,433,159,0,0,45,402
2017-12-19,159,0,0,45,6,49
2017-12-20,0,0,45,6,0,1
2017-12-21,0,45,6,0,0,1
2017-12-22,45,6,0,0,0,0
2017-12-23,6,0,0,0,0,0
2017-12-24,0,0,0,0,0,0
2017-12-25,0,0,0,0,0,0
2017-12-26,0,0,0,0,0,0
2017-12-27,0,0,0,0,0,0
2017-12-28,0,0,0,0,0,0
2017-12-29,0,0,0,0,0,0
2017-12-30,0,0,0,0,0,0
2017-12-31,0,0,0,0,0,0
2018-01-01,0,0,0,0,0,0
2018-01-02,0,0,0,0,302,640
2018-01-03,0,0,0,302,303,507
2018-01-04,0,0,302,303,0,0
2018-01-05,0,302,303,0,0,0
2018-01-06,302,303,0,0,0,0
2018-01-07,303,0,0,0,0,0
2018-01-08,0,0,0,0,0,0
2018-01-09,0,0,0,0,0,0
2018-01-10,0,0,0,0,0,0
2018-01-11,0,0,0,0,0,0
2018-01-12,0,0,0,0,0,0
2018-01-13,0,0,0,0,0,0
2018-01-14,0,0,0,0,0,0
2018-01-15,0,0,0,0,279,637
2018-01-16,0,0,0,279,303,595
2018-01-17,0,0,279,303,337,657
2018-01-18,0,279,303,337,304,634
2018-01-19,279,303,337,304,238,527
2018-01-20,303,337,304,238,0,0
2018-01-21,337,304,238,0,0,0
2018-01-22,304,238,0,0,213,590
2018-01-23,238,0,0,213,183,497
2018-01-24,0,0,213,183,195,447
2018-01-25,0,213,183,195,275,326
2018-01-26,213,183,195,275,87,135
2018-01-27,183,195,275,87,0,0
2018-01-28,195,275,87,0,0,0
2018-01-29,275,87,0,0,394,628
2018-01-30,87,0,0,394,339,554
2018-01-31,0,0,394,339,306,526
2018-02-01,0,394,339,306,0,0
2018-02-02,394,339,306,0,295,589
2018-02-03,339,306,0,295,238,436
2018-02-04,306,0,295,238,328,599
2018-02-05,0,295,238,328,148,367
2018-02-06,295,238,328,148,0,0
2018-02-07,238,328,148,0,0,0
2018-02-08,328,148,0,0,0,0
2018-02-09,148,0,0,0,0,0
2018-02-10,0,0,0,0,0,0
2018-02-11,0,0,0,0,0,0
2018-02-12,0,0,0,0,0,0
2018-02-13,0,0,0,0,1,1
2018-02-14,0,0,0,1,391,665
2018-02-15,0,0,1,391,355,664
2018-02-16,0,1,391,355,319,599
2018-02-17,1,391,355,319,0,0
2018-02-18,391,355,319,0,1,1
2018-02-19,355,319,0,1,398,675
2018-02-20,319,0,1,398,419,739
2018-02-21,0,1,398,419,416,722
2018-02-22,1,398,419,416,366,685
2018-02-23,398,419,416,366,310,588
2018-02-24,419,416,366,310,0,0
2018-02-25,416,366,310,0,0,0
2018-02-26,366,310,0,0,273,594
2018-02-27,310,0,0,273,308,594
2018-02-28,0,0,273,308,305,581
2018-03-01,0,273,308,305,170,487
2018-03-02,273,308,305,170,0,0
2018-03-03,308,305,170,0,0,0
2018-03-04,305,170,0,0,16,210
2018-03-05,170,0,0,16,179,462
2018-03-06,0,0,16,179,0,0
2018-03-07,0,16,179,0,0,0
2018-03-08,16,179,0,0,0,0
2018-03-09,179,0,0,0,0,0
2018-03-10,0,0,0,0,0,0
2018-03-11,0,0,0,0,0,0
2018-03-12,0,0,0,0,0,0
2018-03-13,0,0,0,0,431,826
2018-03-14,0,0,0,431,410,779
2018-03-15,0,0,431,410,470,822
2018-03-16,0,431,410,470,293,656
2018-03-17,431,410,470,293,0,0
2018-03-18,410,470,293,0,0,0
2018-03-19,470,293,0,0,371,653
2018-03-20,293,0,0,371,261,546
2018-03-21,0,0,371,261,333,662
2018-03-22,0,371,261,333,373,684
2018-03-23,371,261,333,373,315,570
2018-03-24,261,333,373,315,0,0
2018-03-25,333,373,315,0,0,0
2018-03-26,373,315,0,0,352,686
2018-03-27,315,0,0,352,323,613
2018-03-28,0,0,352,323,308,520
2018-03-29,0,352,323,308,192,353
2018-03-30,352,323,308,192,0,0
2018-03-31,323,308,192,0,0,0
2018-04-01,308,192,0,0,148,494
2018-04-02,192,0,0,148,0,0
2018-04-03,0,0,148,0,0,0
2018-04-04,0,148,0,0,18,253
2018-04-05,148,0,0,18,324,624
2018-04-06,0,0,18,324,0,0
2018-04-07,0,18,324,0,0,0
2018-04-08,18,324,0,0,0,0
2018-04-09,324,0,0,0,0,0
2018-04-10,0,0,0,0,0,0
2018-04-11,0,0,0,0,0,0
2018-04-12,0,0,0,0,0,0
2018-04-13,0,0,0,0,275,479
2018-04-14,0,0,0,275,8,8
2018-04-15,0,0,275,8,0,0
2018-04-16,0,275,8,0,377,717
2018-04-17,275,8,0,377,405,726
2018-04-18,8,0,377,405,371,700
2018-04-19,0,377,405,371,392,684
2018-04-20,377,405,371,392,314,573
2018-04-21,405,371,392,314,0,0
2018-04-22,371,392,314,0,0,0
2018-04-23,392,314,0,0,336,596
2018-04-24,314,0,0,336,346,666
2018-04-25,0,0,336,346,335,600
2018-04-26,0,336,346,335,353,624
2018-04-27,336,346,335,353,303,594
2018-04-28,346,335,353,303,0,0
2018-04-29,335,353,303,0,0,0
2018-04-30,353,303,0,0,0,0
2018-05-01,303,0,0,0,335,647
2018-05-02,0,0,0,335,398,777
2018-05-03,0,0,335,398,321,520
2018-05-04,0,335,398,321,11,219
2018-05-05,335,398,321,11,0,0
2018-05-06,398,321,11,0,0,0
2018-05-07,321,11,0,0,0,0
2018-05-08,11,0,0,0,0,0
2018-05-09,0,0,0,0,0,0
2018-05-10,0,0,0,0,0,0
2018-05-11,0,0,0,0,0,0
2018-05-12,0,0,0,0,0,0
2018-05-13,0,0,0,0,0,0
2018-05-14,0,0,0,0,381,705
2018-05-15,0,0,0,381,410,714
2018-05-16,0,0,381,410,392,735
2018-05-17,0,381,410,392,396,730
2018-05-18,381,410,392,396,323,663
2018-05-19,410,392,396,323,12,12
2018-05-20,392,396,323,12,0,0
2018-05-21,396,323,12,0,376,681
2018-05-22,323,12,0,376,383,729
2018-05-23,12,0,376,383,376,657
2018-05-24,0,376,383,376,339,606
2018-05-25,376,383,376,339,0,0
2018-05-26,383,376,339,0,0,0
2018-05-27,376,339,0,0,0,0
2018-05-28,339,0,0,0,346,624
2018-05-29,0,0,0,346,331,602
2018-05-30,0,0,346,331,13,13
2018-05-31,0,346,331,13,0,0
2018-06-01,346,331,13,0,0,0
2018-06-02,331,13,0,0,413,761
2018-06-03,13,0,0,413,127,428
2018-06-04,0,0,413,127,14,292
2018-06-05,0,413,127,14,0,0
2018-06-06,413,127,14,0,0,0
2018-06-07,127,14,0,0,0,0
2018-06-08,14,0,0,0,0,0
2018-06-09,0,0,0,0,0,0
2018-06-10,0,0,0,0,0,0
2018-06-11,0,0,0,0,0,0
2018-06-12,0,0,0,0,0,0
2018-06-13,0,0,0,0,0,0
2018-06-14,0,0,0,0,0,0
2018-06-15,0,0,0,0,0,0
2018-06-16,0,0,0,0,0,0
2018-06-17,0,0,0,0,0,0
2018-06-18,0,0,0,0,0,0
2018-06-19,0,0,0,0,0,0
2018-06-20,0,0,0,0,0,0
2018-06-21,0,0,0,0,0,0
2018-06-22,0,0,0,0,0,0
2018-06-23,0,0,0,0,0,0
2018-06-24,0,0,0,0,0,0
2018-06-25,0,0,0,0,0,0
2018-06-26,0,0,0,0,0,0
2018-06-27,0,0,0,0,0,0
2018-06-28,0,0,0,0,0,0
2018-06-29,0,0,0,0,0,0
2018-06-30,0,0,0,0,0,0
2018-07-01,0,0,0,0,0,0
2018-07-02,0,0,0,0,350,727
2018-07-03,0,0,0,350,47,241
2018-07-04,0,0,350,47,0,0
2018-07-05,0,350,47,0,285,616
2018-07-06,350,47,0,285,0,0
2018-07-07,47,0,285,0,0,0
2018-07-08,0,285,0,0,0,0
2018-07-09,285,0,0,0,0,0
2018-07-10,0,0,0,0,0,0
2018-07-11,0,0,0,0,0,0
2018-07-12,0,0,0,0,0,0
2018-07-13,0,0,0,0,0,0
2018-07-14,0,0,0,0,0,0
2018-07-15,0,0,0,0,0,0
2018-07-16,0,0,0,0,0,0
2018-07-17,0,0,0,0,0,0
2018-07-18,0,0,0,0,0,0
2018-07-19,0,0,0,0,0,0
2018-07-20,0,0,0,0,0,0
2018-07-21,0,0,0,0,0,0
2018-07-22,0,0,0,0,0,0
2018-07-23,0,0,0,0,0,0
2018-07-24,0,0,0,0,0,0
2018-07-25,0,0,0,0,0,0
2018-07-26,0,0,0,0,0,0
2018-07-27,0,0,0,0,0,0
2018-07-28,0,0,0,0,0,0
2018-07-29,0,0,0,0,0,0
2018-07-30,0,0,0,0,0,0
2018-07-31,0,0,0,0,0,0
2018-08-01,0,0,0,0,217,507
2018-08-02,0,0,0,217,368,713
2018-08-03,0,0,217,368,387,680
2018-08-04,0,217,368,387,0,0
2018-08-05,217,368,387,0,299,628
2018-08-06,368,387,0,299,0,0
2018-08-07,387,0,299,0,0,0
2018-08-08,0,299,0,0,0,0
2018-08-09,299,0,0,0,0,0
2018-08-10,0,0,0,0,0,0
2018-08-11,0,0,0,0,0,0
2018-08-12,0,0,0,0,0,0
2018-08-13,0,0,0,0,0,0
2018-08-14,0,0,0,0,0,0
2018-08-15,0,0,0,0,0,0
2018-08-16,0,0,0,0,0,0
2018-08-17,0,0,0,0,0,0
2018-08-18,0,0,0,0,0,0
2018-08-19,0,0,0,0,0,0
2018-08-20,0,0,0,0,0,0
2018-08-21,0,0,0,0,0,0
2018-08-22,0,0,0,0,0,0
2018-08-23,0,0,0,0,0,0
2018-08-24,0,0,0,0,0,0
2018-08-25,0,0,0,0,0,0
2018-08-26,0,0,0,0,0,0
2018-08-27,0,0,0,0,0,0
2018-08-28,0,0,0,0,0,0
2018-08-29,0,0,0,0,0,0
2018-08-30,0,0,0,0,0,0
2018-08-31,0,0,0,0,0,0
2018-09-01,0,0,0,0,212,512
2018-09-02,0,0,0,212,356,637
2018-09-03,0,0,212,356,236,510
2018-09-04,0,212,356,236,391,700
2018-09-05,212,356,236,391,337,644
2018-09-06,356,236,391,337,0,0
2018-09-07,236,391,337,0,0,0
2018-09-08,391,337,0,0,0,0
2018-09-09,337,0,0,0,0,0
2018-09-10,0,0,0,0,0,0
2018-09-11,0,0,0,0,0,0
2018-09-12,0,0,0,0,0,0
2018-09-13,0,0,0,0,0,0
2018-09-14,0,0,0,0,0,0
2018-09-15,0,0,0,0,0,0
2018-09-16,0,0,0,0,0,0
2018-09-17,0,0,0,0,0,0
2018-09-18,0,0,0,0,0,0
2018-09-19,0,0,0,0,0,0
2018-09-20,0,0,0,0,0,0
2018-09-21,0,0,0,0,0,0
2018-09-22,0,0,0,0,0,0
2018-09-23,0,0,0,0,0,0
2018-09-24,0,0,0,0,0,0
2018-09-25,0,0,0,0,0,0
2018-09-26,0,0,0,0,0,0
2018-09-27,0,0,0,0,0,0
2018-09-28,0,0,0,0,0,0
2018-09-29,0,0,0,0,0,0
2018-09-30,0,0,0,0,0,0
2018-10-01,0,0,0,0,352,687
2018-10-02,0,0,0,352,0,0
2018-10-03,0,0,352,0,0,0
2018-10-04,0,352,0,0,374,697
2018-10-05,352,0,0,374,18,338
2018-10-06,0,0,374,18,0,0
2018-10-07,0,374,18,0,0,0
2018-10-08,374,18,0,0,0,0
2018-10-09,18,0,0,0,0,0
2018-10-10,0,0,0,0,0,0
2018-10-11,0,0,0,0,0,0
2018-10-12,0,0,0,0,0,0
2018-10-13,0,0,0,0,0,0
2018-10-14,0,0,0,0,0,0
2018-10-15,0,0,0,0,0,0
2018-10-16,0,0,0,0,0,0
2018-10-17,0,0,0,0,0,0
2018-10-18,0,0,0,0,0,0
2018-10-19,0,0,0,0,0,0
2018-10-20,0,0,0,0,0,0
2018-10-21,0,0,0,0,0,0
2018-10-22,0,0,0,0,0,0
2018-10-23,0,0,0,0,0,0
2018-10-24,0,0,0,0,0,0
2018-10-25,0,0,0,0,0,0
2018-10-26,0,0,0,0,0,0
2018-10-27,0,0,0,0,0,0
2018-10-28,0,0,0,0,0,0
2018-10-29,0,0,0,0,0,0
2018-10-30,0,0,0,0,0,0
2018-10-31,0,0,0,0,0,0
2018-11-01,0,0,0,0,331,654
2018-11-02,0,0,0,331,0,0
2018-11-03,0,0,331,0,0,0
2018-11-04,0,331,0,0,382,770
2018-11-05,331,0,0,382,324,612
2018-11-06,0,0,382,324,0,0
2018-11-07,0,382,324,0,0,0
2018-11-08,382,324,0,0,0,0
2018-11-09,324,0,0,0,0,0
2018-11-10,0,0,0,0,0,0
2018-11-11,0,0,0,0,0,0
2018-11-12,0,0,0,0,0,0
2018-11-13,0,0,0,0,0,0
2018-11-14,0,0,0,0,0,0
2018-11-15,0,0,0,0,0,0
2018-11-16,0,0,0,0,0,0
2018-11-17,0,0,0,0,0,0
2018-11-18,0,0,0,0,0,0
2018-11-19,0,0,0,0,0,0
2018-11-20,0,0,0,0,0,0
2018-11-21,0,0,0,0,0,0
2018-11-22,0,0,0,0,0,0
2018-11-23,0,0,0,0,0,0
2018-11-24,0,0,0,0,0,0
2018-11-25,0,0,0,0,0,0
2018-11-26,0,0,0,0,0,0
2018-11-27,0,0,0,0,0,0
2018-11-28,0,0,0,0,0,0
2018-11-29,0,0,0,0,0,0
2018-11-30,0,0,0,0,0,0
2018-12-01,0,0,0,0,282,515
2018-12-02,0,0,0,282,0,0
2018-12-03,0,0,282,0,301,645
2018-12-04,0,282,0,301,399,747
